"geoUnit","country","continent","year","value"
"ALB","Albania","Europe",2022,-12947
"AND","Andorra","Europe",2022,-1427
"ARG","Argentina","Americas",2022,125416
"ARM","Armenia","Asia",2022,1447
"AUS","Australia","Oceania",2022,368478
"AUT","Austria","Europe",2022,58780.55078125
"AZE","Azerbaijan","Asia",2022,-43288
"BEL","Belgium","Europe",2022,38190
"BEN","Benin","Africa",2022,-6232
"BFA","Burkina Faso","Africa",2022,-4788
"BGD","Bangladesh","Asia",2022,-61655
"BGR","Bulgaria","Europe",2022,-1002
"BHR","Bahrain","Asia",2022,823
"BIH","Bosnia & Herzegovina","Europe",2022,-9497
"BLR","Belarus","Europe",2022,-1330
"BLZ","Belize","Americas",2022,-739
"BRA","Brazil","Americas",2022,-63328
"BWA","Botswana","Africa",2022,-1090
"CAN","Canada","Americas",2022,285018
"CHE","Switzerland","Europe",2022,45468
"CHL","Chile","Americas",2022,-2901
"CHN","China","Asia",2022,-841380
"CIV","Côte d’Ivoire","Africa",2022,-15058
"CMR","Cameroon","Africa",2022,-24377
"COL","Colombia","Americas",2022,-56492
"CYP","Cyprus","Asia",2022,-14854
"CZE","Czechia","Europe",2022,41383
"DEU","Germany","Europe",2022,277232
"DNK","Denmark","Europe",2022,25379
"DOM","Dominican Republic","Americas",2022,49565
"DZA","Algeria","Africa",2022,-28097
"ECU","Ecuador","Americas",2022,-24988
"EGY","Egypt","Africa",2022,457
"ESP","Spain","Europe",2022,40854
"EST","Estonia","Europe",2022,1534
"FIN","Finland","Europe",2022,17401
"FRA","France","Europe",2022,149943.640625
"GBR","United Kingdom","Europe",2022,633392
"GEO","Georgia","Asia",2022,8652
"GHA","Ghana","Africa",2022,-16901
"GIN","Guinea","Africa",2022,-7593
"GRC","Greece","Europe",2022,-11699
"HKG","Hong Kong SAR China","Asia",2022,16695
"HRV","Croatia","Europe",2022,-4312
"HUN","Hungary","Europe",2022,26432
"IND","India","Asia",2022,-574964
"IRL","Ireland","Europe",2022,10165
"ISL","Iceland","Europe",2022,-577
"ISR","Israel","Asia",2022,-5817
"ITA","Italy","Europe",2022,3477
"JOR","Jordan","Asia",2022,5948
"JPN","Japan","Asia",2022,168012
"KGZ","Kyrgyzstan","Asia",2022,63577
"KOR","South Korea","Asia",2022,35745
"LBN","Lebanon","Asia",2022,12144
"LCA","St. Lucia","Americas",2022,-660
"LKA","Sri Lanka","Asia",2022,-29765
"LTU","Lithuania","Europe",2022,926
"LUX","Luxembourg","Europe",2022,-9440.5
"LVA","Latvia","Europe",2022,4799
"MAC","Macao SAR China","Asia",2022,25949
"MAR","Morocco","Africa",2022,-50705
"MCO","Monaco","Europe",2022,415
"MDA","Moldova","Europe",2022,-13916
"MDG","Madagascar","Africa",2022,-4370
"MEX","Mexico","Americas",2022,22648
"MHL","Marshall Islands","Oceania",2022,-316
"MKD","North Macedonia","Europe",2022,-976
"MLT","Malta","Europe",2022,3396.10009765625
"MNG","Mongolia","Asia",2022,-14376
"MUS","Mauritius","Africa",2022,-3015
"MYS","Malaysia","Asia",2022,52494
"NAM","Namibia","Africa",2022,-1434
"NOR","Norway","Europe",2022,-1952
"NZL","New Zealand","Oceania",2022,20817.5078125
"PAN","Panama","Americas",2022,632
"POL","Poland","Europe",2022,66894
"PRT","Portugal","Europe",2022,32047
"PSE","Palestinian Territories","Asia",2022,-31498
"QAT","Qatar","Asia",2022,10442
"ROU","Romania","Europe",2022,3175
"RUS","Russia","Europe",2022,276748
"RWA","Rwanda","Africa",2022,-2522
"SAU","Saudi Arabia","Asia",2022,20609
"SEN","Senegal","Africa",2022,-2440
"SGP","Singapore","Asia",2022,46597
"SLV","El Salvador","Americas",2022,-4311
"SMR","San Marino","Europe",2022,312
"SRB","Serbia","Europe",2022,-3353
"SVK","Slovakia","Europe",2022,-13597
"SVN","Slovenia","Europe",2022,4689
"SWE","Sweden","Europe",2022,19630.2265625
"SYC","Seychelles","Africa",2022,-574
"TCA","Turks & Caicos Islands","Americas",2022,12
"THA","Thailand","Asia",2022,-2472
"TKM","Turkmenistan","Asia",2022,-60833
"TTO","Trinidad & Tobago","Americas",2022,-2135
"TUN","Tunisia","Africa",2022,-18592
"TUR","Turkey","Asia",2022,183705
"TZA","Tanzania","Africa",2022,-6364
"URY","Uruguay","Americas",2022,-1707
"USA","United States","Americas",2022,758550.0625
"UZB","Uzbekistan","Asia",2022,-144985
"VNM","Vietnam","Asia",2022,-126381
"WSM","Samoa","Oceania",2022,-847
"ZAF","South Africa","Africa",2022,17958
